ORFG KO
ORF9524 ko00630
ORF9524 ko00220
ORF9524 ko00250
ORF9526 ko00520
ORF9526 ko00500
ORF9526 ko00010
ORF9526 ko00030
ORF9537 ko00910
ORF9537 ko00630
ORF9537 ko00220
ORF9537 ko00250
ORF9640 ko00970
ORF9641 ko00400
ORF9662 ko00473
ORF10235 ko00790
ORF10243 ko00790
ORF10244 ko00790
ORF10244 ko00630
ORF10244 ko00680
ORF10245 ko00270
ORF10245 ko00480
ORF10249 ko00330
ORF10288 ko00230
ORF10288 ko00240
ORF10288 ko00760
ORF10296 ko00340
ORF10296 ko00670
ORF10324 ko00260
ORF10352 ko00473
ORF10352 ko00550
ORF10352 ko00300
ORF9864 ko00230
ORF9864 ko00730
ORF9844 ko00190
ORF9844 ko00195
ORF9905 ko00230
ORF9905 ko00250
ORF9909 ko00514
ORF9909 ko00515
ORF9915 ko00300
ORF9916 ko00300
ORF9922 ko00790
ORF9931 ko00400
ORF9950;ORF6126;ORF1978;ORF3027;ORF2497;ORF1972;ORF3745;ORF4068;ORF4088 ko00052
ORF9950;ORF6126;ORF1978;ORF3027;ORF2497;ORF1972;ORF3745;ORF4068;ORF4088 ko00520
ORF9951 ko00230
ORF9951 ko00240
ORF9951 ko00983
ORF9954 ko00010
ORF9954 ko00260
ORF9954 ko00680
ORF9958;ORF644;ORF643;ORF1917;ORF1921;ORF10593;ORF3848;ORF2444;ORF4540;ORF4115;ORF3916;ORF2102;ORF4065;ORF3924;ORF3911;ORF4764;ORF4590;ORF4575;ORF4319;ORF4312;ORF4153 ko00970
ORF9958;ORF644;ORF643;ORF1917;ORF1921;ORF10593;ORF3848;ORF2444;ORF4540;ORF4115;ORF3916;ORF2102;ORF4065;ORF3924;ORF3911;ORF4764;ORF4590;ORF4575;ORF4319;ORF4312;ORF4153 ko00860
ORF9966 ko00010
ORF9966 ko00230
ORF9966 ko00620
ORF9967 ko00521
ORF9967 ko00523
ORF9967 ko00525
ORF10024 ko00400
ORF10080 ko00970
ORF10083;ORF10689;ORF10447;ORF9187 ko00790
ORF10090 ko00230
ORF10090 ko00983
ORF10718 ko00900
ORF10718 ko00970
ORF10727 ko00030
ORF10727 ko00230
ORF10727 ko00520
ORF10730 ko00970
ORF10735 ko00730
ORF10735 ko00900
ORF10736;ORF1218 ko00760
ORF10736;ORF1218 ko00720
ORF10736;ORF1218 ko00430
ORF10736;ORF1218 ko00620
ORF10736;ORF1218 ko00640
ORF10736;ORF1218 ko00650
ORF10736;ORF1218 ko00680
ORF10740 ko00030
ORF10740 ko00230
ORF10741 ko00230
ORF10741 ko00983
ORF10741 ko00240
ORF10741 ko00760
ORF10743 ko00970
ORF10743 ko00900
ORF10743 ko00240
ORF10743 ko00760
ORF10753 ko00908
ORF10754;ORF3628 ko00970
ORF10757 ko00240
ORF10757 ko00190
ORF10757 ko00195
ORF10757 ko00983
ORF10757 ko00670
ORF10759 ko00785
ORF10770 ko00240
ORF10770 ko00970
ORF10771 ko00230
ORF10771 ko00250
ORF10775 ko00190
ORF10775 ko00195
ORF10776 ko00052
ORF10776 ko00030
ORF10776 ko00051
ORF10776 ko00680
ORF10776 ko00010
ORF10777;ORF8584 ko00550
ORF10777;ORF8584 ko00473
ORF10777;ORF8584 ko00471
ORF10779 ko00970
ORF10783 ko00770
ORF10792 ko00052
ORF10793 ko00670
ORF10793 ko00460
ORF10793 ko00630
ORF10793 ko00680
ORF10793 ko00260
ORF10794;ORF2421 ko00520
ORF10794;ORF2421 ko00770
ORF10794;ORF2421 ko00550
ORF10794;ORF2421 ko00240
ORF10795 ko00010
ORF10795 ko00562
ORF10795 ko00710
ORF10795 ko00051
ORF10513 ko00970
ORF10543 ko00760
ORF10545 ko00520
ORF10546 ko00250
ORF10546 ko00520
ORF10517 ko00680
ORF10595 ko00730
ORF10659 ko00520
ORF10659 ko00010
ORF10659 ko00052
ORF10659 ko00500
ORF10659 ko00521
ORF10659 ko00524
ORF10682 ko00230
ORF10682 ko00730
ORF10711 ko00040
