Accn	Pfam	Pfam_desc	CDD	CDD_desc	InterPro	InterPro_desc	GO	KEGG	EC	TIGRFAM	TIGRFAM_desc	HAMAP	HAMAP_desc	CAZy
NODE_1_length_391493_cov_8.91921_300359_300973_-	PF03358	NADPH-dependent FMN reductase			IPR005025;IPR010089	NADPH-dependent FMN reductase-like;Flavoprotein WrbA-like	GO:0016491;GO:0003955;GO:0010181	ko00130	1.6.5.2	TIGR01755	flav_wrbA: NAD(P)H:quinone oxidoreductase, type IV			AA6
NODE_1_length_391493_cov_8.91921_301224_301741_+	PF04307	LexA-binding, inner membrane-associated putative hydrolase			IPR007404	LexA-binding, inner membrane-associated putative hydrolase								
NODE_1_length_391493_cov_8.91921_301852_303264_-	PF01235	Sodium:alanine symporter family			IPR001463	Sodium:alanine symporter	GO:0032328;GO:0016020;GO:0006814;GO:0015655			TIGR00835	agcS: amino acid carrier protein			
NODE_1_length_391493_cov_8.91921_303421_307074_-	PF00005;PF01032;PF01497	ABC transporter;FecCD transport family;Periplasmic binding protein			IPR003439;IPR000522;IPR002491	ABC transporter-like;ABC transporter, permease protein, BtuC-like;ABC transporter periplasmic binding domain	GO:0005524;GO:0022857;GO:0016887;GO:0016020							
NODE_1_length_391493_cov_8.91921_307220_307591_+	PF12833	Helix-turn-helix domain			IPR018060	DNA binding HTH domain, AraC-type	GO:0003700;GO:0006355;GO:0043565							
NODE_1_length_391493_cov_8.91921_307608_308363_-	PF01643	Acyl-ACP thioesterase			IPR002864	Acyl-ACP thioesterase	GO:0006633;GO:0016790							
NODE_1_length_391493_cov_8.91921_308397_310047_-	PF01212;PF12952	Beta-eliminating lyase;Domain of unknown function (DUF3841)			IPR001597;IPR024211	Aromatic amino acid beta-eliminating lyase/threonine aldolase;Protein of unknown function DUF3841	GO:0006520;GO:0016829							
NODE_1_length_391493_cov_8.91921_310151_311314_-	PF00266	Aminotransferase class-V			IPR000192	Aminotransferase class V domain								
NODE_1_length_391493_cov_8.91921_31127_31936_-	PF08680	TATA-box binding			IPR014794	TATA-box binding								
NODE_1_length_391493_cov_8.91921_311336_312574_-	PF07158	Dicarboxylate carrier protein MatC N-terminus			IPR009827	Dicarboxylate carrier MatC N-terminal								
NODE_1_length_391493_cov_8.91921_312609_313796_-	PF02515	CoA-transferase family III			IPR003673	CoA-transferase family III	GO:0008410							
NODE_1_length_391493_cov_8.91921_313932_314807_-	PF02645	Uncharacterised protein, DegV family COG1307			IPR003797	DegV				TIGR00762	DegV: EDD domain protein, DegV family			
NODE_1_length_391493_cov_8.91921_314845_315174_-	PF01588	Putative tRNA binding domain			IPR002547;IPR008231	tRNA-binding domain;Probable chaperone CsaA	GO:0000049			TIGR02222	chap_CsaA: export-related chaperone protein CsaA			
NODE_1_length_391493_cov_8.91921_315465_316486_-	PF00578;PF01475;PF10417	AhpC/TSA family;Ferric uptake regulator family;C-terminal domain of 1-Cys peroxiredoxin			IPR000866;IPR017559;IPR002481;IPR019479	Alkyl hydroperoxide reductase subunit C/ Thiol specific antioxidant;Alkyl hydroperoxide reductase subunit C;Ferric-uptake regulator;Peroxiredoxin, C-terminal	GO:0016209;GO:0003700;GO:0006355;GO:0051920;GO:0006979;GO:0016491;GO:0055114	ko00480	1.11.1.15	TIGR03137	AhpC: peroxiredoxin			
NODE_1_length_391493_cov_8.91921_316699_317544_-	PF01909	Nucleotidyltransferase domain			IPR002934	Polymerase, nucleotidyl transferase domain	GO:0016779							
NODE_1_length_391493_cov_8.91921_317653_319335_-	PF00563;PF00990;PF08447	EAL domain;Diguanylate cyclase, GGDEF domain;PAS fold			IPR001633;IPR000160;IPR013655	EAL domain;GGDEF domain;PAS fold-3	GO:0005515			TIGR00254	GGDEF: diguanylate cyclase (GGDEF) domain			
NODE_1_length_391493_cov_8.91921_319406_320683_-	PF02589	LUD domain			IPR003741	LUD domain								
NODE_1_length_391493_cov_8.91921_320788_321087_-	PF13427	Domain of unknown function (DUF4111)			IPR025184	Domain of unknown function DUF4111								
NODE_1_length_391493_cov_8.91921_321247_322098_+	PF02548	Ketopantoate hydroxymethyltransferase			IPR003700	Ketopantoate hydroxymethyltransferase	GO:0003864;GO:0015940	ko00770	2.1.2.11	TIGR00222	panB: 3-methyl-2-oxobutanoate hydroxymethyltransferase	MF_00156	3-methyl-2-oxobutanoate hydroxymethyltransferase [panB].	
NODE_1_length_391493_cov_8.91921_32126_35923_-	PF00006;PF16886;PF01813;PF02874	ATP synthase alpha/beta family, nucleotide-binding domain;ATPsynthase alpha/beta subunit N-term extension;ATP synthase subunit D;ATP synthase alpha/beta family, beta-barrel domain			IPR002699;IPR000194;IPR004100;IPR031686;IPR005726;IPR022878;IPR022879	ATPase, V1 complex, subunit D;ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain;ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain;ATPsynthase alpha/beta subunit, N-terminal extension;ATP synthase alpha chain, archaea;V-type ATP synthase catalytic alpha chain;V-type ATP synthase regulatory subunit B/beta	GO:0042626;GO:1902600;GO:0015986;GO:0033178;GO:0046961;GO:0046034;GO:0005524	ko00190;ko00195	7.1.2.2	TIGR00309;TIGR01043	V_ATPase_subD: V-type ATPase, D subunit;ATP_syn_A_arch: ATP synthase archaeal, A subunit	MF_00271;MF_00309;MF_00310	V-type ATP synthase subunit D [atpD].;V-type ATP synthase alpha chain [atpA].;V-type ATP synthase beta chain [atpB].	
NODE_1_length_391493_cov_8.91921_322632_323078_-	PF00583	Acetyltransferase (GNAT) family			IPR000182	GNAT domain	GO:0008080							
NODE_1_length_391493_cov_8.91921_323783_324382_-	PF02132;PF13662	RecR protein;Toprim domain			IPR000093;IPR023628;IPR006171	DNA recombination protein RecR;Recombination protein RecR, C4-type zinc finger;TOPRIM  domain	GO:0003677;GO:0006281;GO:0006310			TIGR00615	recR: recombination protein RecR	MF_00017	Recombination protein RecR [recR].	
NODE_1_length_391493_cov_8.91921_324400_324738_-	PF02575	YbaB/EbfC DNA-binding family			IPR004401	Nucleoid-associated protein YbaB/EbfC family				TIGR00103	DNA_YbaB_EbfC: DNA-binding protein, YbaB/EbfC family	MF_00274	Nucleoid-associated protein YbaB [ybaB].	
NODE_1_length_391493_cov_8.91921_324760_326388_-	PF12169;PF13177	DNA polymerase III subunits gamma and tau domain III;DNA polymerase III, delta subunit			IPR022754;IPR012763	DNA polymerase III, gamma subunit, domain III;DNA polymerase III, subunit gamma/ tau	GO:0003887;GO:0006260;GO:0009360;GO:0005524			TIGR02397	dnaX_nterm: DNA polymerase III, subunit gamma and tau			
NODE_1_length_391493_cov_8.91921_326516_327193_+	PF13483	Beta-lactamase superfamily domain			IPR022877	Protein of unknown funcion UPF0173						MF_00457	UPF0173 metal-dependent hydrolase <locus_tag>.	
NODE_1_length_391493_cov_8.91921_327213_327911_-	PF01048	Phosphorylase superfamily			IPR004402;IPR000845	Purine nucleoside phosphorylase DeoD-type;Nucleoside phosphorylase domain	GO:0004731;GO:0009116;GO:0006139;GO:0003824	ko00230;ko00240;ko00760	2.4.2.1	TIGR00107	deoD: purine nucleoside phosphorylase	MF_01627	Purine nucleoside phosphorylase DeoD-type [deoD].	
NODE_1_length_391493_cov_8.91921_328498_328938_-	PF02561	Flagellar protein FliS			IPR003713	Flagellar protein FliS	GO:0044780							
NODE_1_length_391493_cov_8.91921_328950_330036_-	PF00669;PF00700	Bacterial flagellin N-terminal helical region;Bacterial flagellin C-terminal helical region			IPR001029	Flagellin, D0/D1 domain	GO:0005198;GO:0071973							
NODE_1_length_391493_cov_8.91921_332521_332979_+	PF03885	Protein of unknown function (DUF327)			IPR005585	Protein of unknown function DUF327								
NODE_1_length_391493_cov_8.91921_333316_334937_+	PF03109	ABC1 family			IPR004147	UbiB domain								
NODE_1_length_391493_cov_8.91921_334960_335859_-	PF00226;PF01556	DnaJ domain;DnaJ C terminal domain			IPR001623;IPR002939	DnaJ domain;Chaperone DnaJ, C-terminal								
NODE_1_length_391493_cov_8.91921_335962_336328_-	PF09388	Spo0E like sporulation regulatory protein			IPR018540	Aspartyl-phosphate phosphatase Spo0E-like	GO:0043937							
NODE_1_length_391493_cov_8.91921_336341_336802_+	PF01381	Helix-turn-helix			IPR001387	Cro/C1-type helix-turn-helix domain								
NODE_1_length_391493_cov_8.91921_336819_337120_-	PF02583	Metal-sensitive transcriptional repressor			IPR003735	Metal-sensitive transcriptional repressor	GO:0003677;GO:0006355;GO:0046872							
NODE_1_length_391493_cov_8.91921_337136_339736_-	PF00122;PF00403;PF00702	E1-E2 ATPase;Heavy-metal-associated domain;haloacid dehalogenase-like hydrolase			IPR006121;IPR027256;IPR006122;IPR001757	Heavy metal-associated domain, HMA;P-type ATPase, subfamily IB;Heavy metal-associated domain, copper ion-binding;P-type ATPase	GO:0030001;GO:0016021;GO:0006812;GO:0019829;GO:0046872;GO:0005507			TIGR00003;TIGR01525;TIGR01494;TIGR01511	TIGR00003: copper ion binding protein;ATPase-IB_hvy: heavy metal translocating P-type ATPase;ATPase_P-type: HAD ATPase, P-type, family IC;ATPase-IB1_Cu: copper-translocating P-type ATPase			
NODE_1_length_391493_cov_8.91921_339920_340186_+	PF04023	FeoA domain			IPR007167	Ferrous iron transporter FeoA domain	GO:0046914							
NODE_1_length_391493_cov_8.91921_340199_342199_+	PF02421;PF17910;PF07664;PF07670	Ferrous iron transport protein B;FeoB cytosolic helical domain;Ferrous iron transport protein B C terminus;Nucleoside recognition			IPR030389;IPR041069;IPR005225;IPR003373;IPR011640;IPR011642	FeoB-type guanine nucleotide-binding (G) domain;FeoB, cytosolic helical domain;Small GTP-binding protein domain;Ferrous iron transport protein B;Ferrous iron transport protein B, C-terminal;Nucleoside transporter/FeoB GTPase, Gate domain	GO:0005525;GO:0016021;GO:0006826;GO:0015093			TIGR00231;TIGR00437	small_GTP: small GTP-binding protein domain;feoB: ferrous iron transport protein B			
NODE_1_length_391493_cov_8.91921_342238_342477_+	PF09012	FeoC like transcriptional regulator			IPR015102	Transcriptional regulator HTH-type, FeoC								
NODE_1_length_391493_cov_8.91921_342633_344087_+	PF04095;PF17767;PF17956	Nicotinate phosphoribosyltransferase (NAPRTase) family;Nicotinate phosphoribosyltransferase (NAPRTase) N-terminal domain;Nicotinate phosphoribosyltransferase C-terminal domain			IPR041525;IPR006405;IPR040727;IPR041619	Nicotinate/nicotinamide phosphoribosyltransferase;Nicotinate phosphoribosyltransferase pncB-type;Nicotinate phosphoribosyltransferase, N-terminal domain;Nicotinate phosphoribosyltransferase C-terminal domain	GO:0004516;GO:0009435	ko00760	6.3.4.21	TIGR01513	NAPRTase_put: nicotinate phosphoribosyltransferase			
NODE_1_length_391493_cov_8.91921_344137_344601_-	PF00011	Hsp20/alpha crystallin family			IPR002068	Alpha crystallin/Hsp20 domain								
NODE_1_length_391493_cov_8.91921_344841_345203_-	PF07784	Protein of unknown function (DUF1622)			IPR012427	Protein of unknown function DUF1622								
NODE_1_length_391493_cov_8.91921_345440_345901_-	PF14437	MafB19-like deaminase			IPR028883	tRNA-specific adenosine deaminase	GO:0002100;GO:0008251					MF_00972	tRNA-specific adenosine deaminase [tadA].	
NODE_1_length_391493_cov_8.91921_346087_351243_-	PF00006;PF01990;PF01991;PF02874;PF16886;PF00137;PF01813	ATP synthase alpha/beta family, nucleotide-binding domain;ATP synthase (F/14-kDa) subunit;ATP synthase (E/31 kDa) subunit;ATP synthase alpha/beta family, beta-barrel domain;ATPsynthase alpha/beta subunit N-term extension;ATP synthase subunit C;ATP synthase subunit D			IPR002699;IPR000194;IPR002379;IPR008218;IPR002842;IPR004100;IPR031686;IPR022878;IPR022879	ATPase, V1 complex, subunit D;ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain;V-ATPase proteolipid subunit C-like domain;ATPase, V1 complex, subunit F;V-type ATPase subunit E;ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain;ATPsynthase alpha/beta subunit, N-terminal extension;V-type ATP synthase catalytic alpha chain;V-type ATP synthase regulatory subunit B/beta	GO:0042626;GO:0015078;GO:0033177;GO:1902600;GO:0034220;GO:0033178;GO:0046961;GO:0046034;GO:0005524	ko00190;ko00195	7.1.2.2	TIGR00309	V_ATPase_subD: V-type ATPase, D subunit	MF_00271;MF_00309;MF_00310	V-type ATP synthase subunit D [atpD].;V-type ATP synthase alpha chain [atpA].;V-type ATP synthase beta chain [atpB].	
NODE_1_length_391493_cov_8.91921_351284_353218_-	PF01496	V-type ATPase 116kDa subunit family			IPR002490	V-type  ATPase, V0 complex, 116kDa subunit family	GO:0015078;GO:0033179;GO:1902600							
NODE_1_length_391493_cov_8.91921_353220_354574_-	PF01992	ATP synthase (C/AC39) subunit			IPR002843	ATPase, V0 complex,  c/d subunit								
NODE_1_length_391493_cov_8.91921_354875_356362_-	PF01433	Peptidase family M1 domain			IPR014782	Peptidase M1, membrane alanine aminopeptidase	GO:0008237;GO:0008270							
NODE_1_length_391493_cov_8.91921_356485_357759_-	PF00587;PF02403	tRNA synthetase class II core domain (G, H, P, S and T);Seryl-tRNA synthetase N-terminal domain			IPR002317;IPR002314;IPR015866	Serine-tRNA ligase, type1;Aminoacyl-tRNA synthetase, class II (G/ P/ S/T);Serine-tRNA synthetase, type1, N-terminal	GO:0006434;GO:0005524;GO:0006418;GO:0004812;GO:0000166;GO:0004828	ko00970	6.1.1.11	TIGR00414	serS: serine--tRNA ligase	MF_00176	Serine--tRNA ligase [serS].	
NODE_1_length_391493_cov_8.91921_358095_358619_-	PF02829;PF08279	3H domain;HTH domain			IPR004173;IPR013196	3H domain;Helix-turn-helix, type 11	GO:0036094							
NODE_1_length_391493_cov_8.91921_358647_362550_-	PF01695;PF13302;PF01966;PF07261	IstB-like ATP binding protein;Acetyltransferase (GNAT) domain;HD domain;Replication initiation and membrane attachment			IPR002611;IPR000182;IPR006674;IPR006343	IstB-like ATP-binding protein;GNAT domain;HD domain;DnaD domain	GO:0005524;GO:0008080			TIGR01446	DnaD_dom: DnaD domain protein			
NODE_1_length_391493_cov_8.91921_35940_37245_-	PF01990;PF01992	ATP synthase (F/14-kDa) subunit;ATP synthase (C/AC39) subunit			IPR022944;IPR008218;IPR002843	ATPase, V1 complex, subunit F, bacterial/archaeal;ATPase, V1 complex, subunit F;ATPase, V0 complex,  c/d subunit	GO:0034220					MF_00312	V-type ATP synthase subunit F [atpF].	
NODE_1_length_391493_cov_8.91921_362660_363982_-	PF00772;PF03796	DnaB-like helicase N terminal domain;DnaB-like helicase C terminal domain			IPR007693;IPR007694;IPR007692	DNA helicase, DnaB-like, N-terminal;DNA helicase, DnaB-like, C-terminal;DNA helicase, DnaB type	GO:0003678;GO:0003677;GO:0005524;GO:0006260			TIGR00665	DnaB: replicative DNA helicase			
NODE_1_length_391493_cov_8.91921_364010_367793_-	PF01281;PF03948;PF09991;PF12643;PF01368;PF02272	Ribosomal protein L9, N-terminal domain;Ribosomal protein L9, C-terminal domain;Predicted membrane protein (DUF2232);MazG-like family;DHH family;DHHA1 domain			IPR020594;IPR003156;IPR020069;IPR018710;IPR025984;IPR020070;IPR001667	Ribosomal protein L9, bacteria/chloroplast;DHHA1 domain;Ribosomal protein L9, C-terminal;Protein of unknown function DUF2232;dCTP pyrophosphatase 1;Ribosomal protein L9, N-terminal;DDH domain	GO:0003735;GO:0003676;GO:0009143;GO:0047429;GO:0005840;GO:0006412	ko00970;ko00240	6.1.1.7;3.6.1.12	TIGR00158	L9: ribosomal protein bL9	MF_00503	50S ribosomal protein L9 [rplI].	
NODE_1_length_391493_cov_8.91921_368083_368550_-	PF00436	Single-strand binding protein family			IPR011344;IPR000424	Single-stranded DNA-binding protein;Primosome PriB/single-strand DNA-binding	GO:0003697;GO:0006260			TIGR00621	ssb: single-stranded DNA-binding protein	MF_00984	Single-stranded DNA-binding protein.	
NODE_1_length_391493_cov_8.91921_368564_368848_-	PF01250	Ribosomal protein S6			IPR020814;IPR000529	Ribosomal protein S6, plastid/chloroplast;Ribosomal protein S6	GO:0019843;GO:0006412;GO:0003735;GO:0005840			TIGR00166	S6: ribosomal protein bS6	MF_00360	30S ribosomal protein S6 [rpsF].	
NODE_1_length_391493_cov_8.91921_369066_369944_+	PF12849	PBP superfamily domain			IPR024370	PBP domain								
NODE_1_length_391493_cov_8.91921_369960_370813_+	PF00528	Binding-protein-dependent transport system inner membrane component			IPR000515;IPR011864	ABC transporter type 1, transmembrane domain MetI-like;Phosphate ABC transporter, permease protein PstC	GO:0016020;GO:0006817;GO:0016021;GO:0055085;GO:0005315			TIGR02138	phosphate_pstC: phosphate ABC transporter, permease protein PstC			
NODE_1_length_391493_cov_8.91921_370817_373057_+	PF00005;PF00528;PF01895	ABC transporter;Binding-protein-dependent transport system inner membrane component;PhoU domain			IPR003439;IPR005670;IPR005672;IPR028366;IPR000515;IPR026022	ABC transporter-like;Phosphate transport system permease protein 1;Phosphate transport system permease protein PstA;Phosphate transport system protein PhoU;ABC transporter type 1, transmembrane domain MetI-like;PhoU domain	GO:0005524;GO:0055085;GO:0005315;GO:0035435;GO:0005887;GO:0030643;GO:0045936;GO:0016887;GO:0016020			TIGR00972;TIGR00974;TIGR02135	3a0107s01c2: phosphate ABC transporter, ATP-binding protein;3a0107s02c: phosphate ABC transporter, permease protein PstA;phoU_full: phosphate transport system regulatory protein PhoU			
NODE_1_length_391493_cov_8.91921_37256_38315_-	PF00137;PF01991	ATP synthase subunit C;ATP synthase (E/31 kDa) subunit			IPR002842;IPR002379	V-type ATPase subunit E;V-ATPase proteolipid subunit C-like domain	GO:0033178;GO:0015078;GO:0033177;GO:0046961;GO:1902600					MF_00311	V-type proton ATPase subunit E [atpE].	
NODE_1_length_391493_cov_8.91921_373069_374810_+	PF00072;PF02518;PF00486;PF00512	Response regulator receiver domain;Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase;Transcriptional regulatory protein, C terminal;His Kinase A (phospho-acceptor) domain			IPR001789;IPR003594;IPR001867;IPR003661	Signal transduction response regulator, receiver domain;Histidine kinase/HSP90-like ATPase;OmpR/PhoB-type DNA-binding domain;Signal transduction histidine kinase, dimerisation/phosphoacceptor domain	GO:0000160;GO:0000155;GO:0007165;GO:0003677;GO:0006355							
NODE_1_length_391493_cov_8.91921_374842_376026_-	PF00155	Aminotransferase class I and II			IPR004839	Aminotransferase, class I/classII	GO:0009058;GO:0030170							
NODE_1_length_391493_cov_8.91921_376153_377237_-	PF00924;PF06107	Mechanosensitive ion channel;Bacterial protein of unknown function (DUF951)			IPR006685;IPR009296	Mechanosensitive ion channel MscS;Protein of unknown function DUF951	GO:0016020;GO:0055085							
NODE_1_length_391493_cov_8.91921_377250_377516_-	PF11823	Protein of unknown function (DUF3343)			IPR021778	Domain of unknown function DUF3343								
NODE_1_length_391493_cov_8.91921_377531_378130_-	PF01206;PF02635	Sulfurtransferase TusA;DsrE/DsrF-like family			IPR001455;IPR003787;IPR019870	TusA-like domain;Sulphur relay, DsrE/F-like protein;Selenium metabolism protein YedF				TIGR03527	selenium_YedF: selenium metabolism protein YedF			
NODE_1_length_391493_cov_8.91921_378419_379104_+	PF09862	Protein of unknown function (DUF2089)			IPR018658	Protein of unknown function DUF2089								
NODE_1_length_391493_cov_8.91921_379580_380815_-	PF02674	Colicin V production protein			IPR003825	Colicin V production, CvpA	GO:0009403;GO:0016020							
NODE_1_length_391493_cov_8.91921_382059_383504_+	PF00155;PF00392	Aminotransferase class I and II;Bacterial regulatory proteins, gntR family			IPR004839;IPR000524	Aminotransferase, class I/classII;Transcription regulator HTH, GntR	GO:0009058;GO:0006355;GO:0030170;GO:0003700							
NODE_1_length_391493_cov_8.91921_38350_40609_-	PF01496	V-type ATPase 116kDa subunit family			IPR002490	V-type  ATPase, V0 complex, 116kDa subunit family	GO:0015078;GO:0033179;GO:1902600							
NODE_1_length_391493_cov_8.91921_383558_384376_-	PF00561	alpha/beta hydrolase fold			IPR000073	Alpha/beta hydrolase fold-1								
NODE_1_length_391493_cov_8.91921_385619_386947_-	PF02028	BCCT, betaine/carnitine/choline family transporter			IPR000060	BCCT transporter family	GO:0016020;GO:0022857;GO:0071705			TIGR00842	bcct: transporter, betaine/carnitine/choline transporter (BCCT) family			
NODE_1_length_391493_cov_8.91921_387177_388487_-	PF07355	Glycine/sarcosine/betaine reductase selenoprotein B (GRDB)			IPR010187	Selenoprotein B, glycine/betaine/sarcosine/D-proline reductase family	GO:0050485;GO:0055114			TIGR01918	various_sel_PB: selenoprotein B, glycine/betaine/sarcosine/D-proline reductase family			
NODE_1_length_391493_cov_8.91921_388500_389825_-	PF09338	Glycine/sarcosine/betaine reductase component B subunits			IPR015417	Glycine/sarcosine/betaine reductase complex, protein B, subunit alpha/ beta	GO:0050485;GO:0055114							
NODE_1_length_391493_cov_8.91921_389858_390337_-	PF04723	Glycine reductase complex selenoprotein A			IPR006812	Glycine reductase complex selenoprotein A	GO:0055114;GO:0050485;GO:0030699;GO:0030700							
NODE_1_length_391493_cov_8.91921_390706_391493_+	PF00440	Bacterial regulatory proteins, tetR family			IPR001647	DNA-binding HTH domain, TetR-type	GO:0003677							
NODE_1_length_391493_cov_8.91921_41317_42423_-	PF02350	UDP-N-acetylglucosamine 2-epimerase			IPR003331;IPR029767	UDP-N-acetylglucosamine 2-epimerase domain;UDP-N-acetylglucosamine 2-epimerase WecB-like	GO:0008761			TIGR00236	wecB: UDP-N-acetylglucosamine 2-epimerase			
NODE_1_length_391493_cov_8.91921_42435_43472_-	PF00953	Glycosyl transferase family 4			IPR000715	Glycosyl transferase, family 4	GO:0008963;GO:0016021	ko00550	2.7.8.13					
NODE_1_length_391493_cov_8.91921_43577_44269_-	PF01177	Asp/Glu/Hydantoin racemase			IPR015942;IPR004380	Asp/Glu/hydantoin racemase;Aspartate racemase	GO:0006807;GO:0036361;GO:0047661	ko00471	5.1.1.3	TIGR00035	asp_race: aspartate racemase			
NODE_1_length_391493_cov_8.91921_44764_45393_-	PF14681	Uracil phosphoribosyltransferase			IPR034332;IPR005765	Uracil phosphoribosyltransferase, bacterial-type;Uracil phosphoribosyl transferase	GO:0004845;GO:0006223	ko00240	2.4.2.9	TIGR01091	upp: uracil phosphoribosyltransferase	MF_01218_B	Uracil phosphoribosyltransferase [upp].	
NODE_1_length_391493_cov_8.91921_45436_46336_-	PF01451;PF02502	Low molecular weight phosphotyrosine protein phosphatase;Ribose/Galactose Isomerase			IPR023485;IPR003500;IPR004785	Phosphotyrosine protein phosphatase I;Sugar-phosphate isomerase, RpiB/LacA/LacB family;Ribose 5-phosphate isomerase B	GO:0005975;GO:0016853	ko00052	5.3.1.26	TIGR00689;TIGR01120	rpiB_lacA_lacB: sugar-phosphate isomerase, RpiB/LacA/LacB family;rpiB: ribose 5-phosphate isomerase B			
NODE_1_length_391493_cov_8.91921_46351_47400_-	PF01300;PF03481	Telomere recombination;Putative GTP-binding controlling metal-binding			IPR006070;IPR005145	YrdC-like domain;Putative GTP-binding controlling metal-binding domain	GO:0003725			TIGR00057	TIGR00057: tRNA threonylcarbamoyl adenosine modification protein, Sua5/YciO/YrdC/YwlC family			
NODE_1_length_391493_cov_8.91921_47521_48237_+	PF02535	ZIP Zinc transporter			IPR003689	Zinc/iron permease	GO:0055085;GO:0046873;GO:0016020;GO:0030001							
NODE_1_length_391493_cov_8.91921_48260_49348_-	PF00472;PF03462	RF-1 domain;PCRF domain			IPR004373;IPR000352;IPR005139	Peptide chain release factor 1;Peptide chain release factor class I;Peptide chain release factor	GO:0006415;GO:0016149;GO:0003747			TIGR00019	prfA: peptide chain release factor 1	MF_00093	Peptide chain release factor 1 [prfA].	
NODE_1_length_391493_cov_8.91921_49376_49967_-	PF02417	Chromate transporter			IPR003370	Chromate transporter	GO:0015109;GO:0015703							
NODE_1_length_391493_cov_8.91921_49973_52304_-	PF02417;PF17827;PF07136;PF13847	Chromate transporter;PrmC N-terminal domain;Protein of unknown function (DUF1385);Methyltransferase domain			IPR019874;IPR025714;IPR040758;IPR004556;IPR003370;IPR010787	Protein-(glutamine-N5) methyltransferase, release factor-specific;Methyltransferase domain;Release factor glutamine methyltransferase, N-terminal domain;Methyltransferase HemK-like;Chromate transporter;Protein of unknown function DUF1385	GO:0008168;GO:0006479;GO:0008276;GO:0015109;GO:0015703			TIGR00536;TIGR03534	hemK_fam: methyltransferase, HemK family;RF_mod_PrmC: protein-(glutamine-N5) methyltransferase, release factor-specific	MF_02126	Release factor glutamine methyltransferase [prmC].	
NODE_1_length_391493_cov_8.91921_52377_52577_-	PF01197	Ribosomal protein L31			IPR027491;IPR002150	Ribosomal protein L31 type A;Ribosomal protein L31	GO:0003735;GO:0005840;GO:0006412			TIGR00105	L31: ribosomal protein bL31	MF_00501	50S ribosomal protein L31 [rpmE].	
NODE_1_length_391493_cov_8.91921_52641_54092_-	PF00006;PF07497;PF07498	ATP synthase alpha/beta family, nucleotide-binding domain;Rho termination factor, RNA-binding domain;Rho termination factor, N-terminal domain			IPR004665;IPR011112;IPR000194;IPR011113	Transcription termination factor Rho;Rho termination factor, N-terminal;ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain;Rho termination factor, RNA-binding domain	GO:0008186;GO:0006353;GO:0003723;GO:0005524	ko00190;ko00195	7.1.2.2	TIGR00767	rho: transcription termination factor Rho	MF_01884	Transcription termination factor Rho [rho].	
NODE_1_length_391493_cov_8.91921_54291_55262_-	PF03320	Bacterial fructose-1,6-bisphosphatase, glpX-encoded			IPR004464	Fructose-1,6-bisphosphatase class 2/Sedoheputulose-1,7-bisphosphatase	GO:0006071;GO:0006094;GO:0042132	ko00680;ko00030;ko00051;ko00710;ko00010	3.1.3.11	TIGR00330	glpX: fructose-1,6-bisphosphatase, class II			
NODE_1_length_391493_cov_8.91921_55340_56552_-	PF00923	Transaldolase/Fructose-6-phosphate aldolase			IPR022999;IPR001585;IPR004731	Transaldolase type 3B, putative;Transaldolase/Fructose-6-phosphate aldolase;Transaldolase type 3B/Fructose-6-phosphate aldolase	GO:0004801;GO:0005975	ko00030	2.2.1.2	TIGR00875	fsa_talC_mipB: fructose-6-phosphate aldolase	MF_00494	Probable transaldolase [tal].	
NODE_1_length_391493_cov_8.91921_56590_57441_-	PF01116	Fructose-bisphosphate aldolase class-II			IPR000771;IPR011289	Fructose-bisphosphate aldolase, class-II;Fructose-1,6-bisphosphate aldolase, class 2	GO:0005975;GO:0030388;GO:0004332;GO:0006096;GO:0008270;GO:0016832	ko00680;ko00030;ko00051;ko00710;ko00010	4.1.2.13	TIGR00167;TIGR01859	cbbA: ketose-bisphosphate aldolase;fruc_bis_ald_: fructose-1,6-bisphosphate aldolase, class II			
NODE_1_length_391493_cov_8.91921_57608_58777_-	PF00155	Aminotransferase class I and II			IPR004839;IPR027619	Aminotransferase, class I/classII;Putative C-S lyase	GO:0009058;GO:0030170	ko00270;ko00450	4.4.1.13	TIGR04350	C_S_lyase_PatB: putative C-S lyase			
NODE_1_length_391493_cov_8.91921_58921_60465_-	PF00005;PF00664	ABC transporter;ABC transporter transmembrane region			IPR003439;IPR011527	ABC transporter-like;ABC transporter type 1, transmembrane domain	GO:0005524;GO:0016021;GO:0042626;GO:0016887;GO:0055085							
NODE_1_length_391493_cov_8.91921_60744_62928_-	PF00005;PF00664;PF13463	ABC transporter;ABC transporter transmembrane region;Winged helix DNA-binding domain			IPR003439;IPR011527;IPR000835	ABC transporter-like;ABC transporter type 1, transmembrane domain;MarR-type HTH domain	GO:0005524;GO:0016021;GO:0042626;GO:0003700;GO:0006355;GO:0016887;GO:0055085							
NODE_1_length_391493_cov_8.91921_63341_64582_+	PF00375	Sodium:dicarboxylate symporter family			IPR001991	Sodium:dicarboxylate symporter	GO:0015293;GO:0016021							
